student_name,grade
Given001 Family01,1
Given002 Family02,2
Given003 De La Sample,3
Given004 Family04,4
Given005 Family05,5
Given006 Family06,6
Given007 Family07,1
Given008 Family08,2
Given009 Family09,3
Given010 Family10,4
Given011 Family11,5
Given012 Family12,6
Given013 Family13,1
Given014 Family14,2
Given015 Family15,3
Given016 Family16,4
Given017 Family17,5
Given017 Family17,6
Given019 Family19,1
Given020 Family20,2
Given021 Family21,3
Given022 Family22,4
Given023 Family23,5
Given024 Family24,6
Given025 Family25,1
Given026 Family26,2
Given027 Family27,3
Given028 Family28,4
Given029 Family29,5
Given030 Family30,6
Given031 Family31,1
Given032 Family01,2
Given033 Family02,3
Given034 Family03,4
Given035 Family04,5
Given036 Family05,6
Given037 Family06,1
Given038 Family07,2
Given039 Family08,3
Given040 Family09,4
Given041 Family10,5
Given042 Family11,6
Given043 Family12,1
Given044 Family13,2
Given045 Family14,3
Given046 Family15,4
Given047 Family16,5
Given048 Family17,6
Given049 Family18,1
Given050 Family19,2
Given051 Family20,3
Given052 Family21,4
Given053 Family22,5
Given054 Family23,6
Given055 Family24,1
Given056 Family25,2
Given057 Family26,3
Given058 Family27,4
Given059 Family28,5
Given060 Family29,6
Given061 Family30,1
Given062 Family31,2
Given063 Family01,3
Given064 Family02,4
Given065 Family03,5
Given066 Family04,6
Given067 Family05,1
Given068 Family06,2
Given069 Family07,3
Given070 Family08,4
Given071 Family09,5
Given072 Family10,6
Given073 Family11,1
Given074 Family12,2
Given075 Family13,3
Given076 Family14,4
Given077 Family15,5
Given078 Family16,6
Given079 Family17,1
Given080 Family18,2
Given081 Family19,3
Given082 Family20,4
Given083 Family21,5
Given084 Family22,6
Given085 Family23,1
Given086 Family24,2
Given087 Family25,3
Given088 Family26,4
Given089 Family27,5
Given090 Family28,6
Given091 Family29,1
Given092 Family30,2
Given093 Family31,3
Given094 Family01,4
Given095 Family02,5
Given096 Family03,6
Given097 Family04,1
Given098 Family05,2
Given099 Family06,3
Given100 Family07,4
Given101 Family08,5
Given102 Family09,6
Given103 Family10,1
Given104 Family11,2
Given105 Family12,3
Given106 Family13,4
Given107 Family14,5
Given108 Family15,6
Given109 Family16,1
Given110 Family17,2
Given111 Family18,3
Given112 Family19,4
Given113 Family20,5
Given114 Family21,6
Given115 Family22,1
Given116 Family23,2
Given117 Family24,3
Given118 Family25,4
Given119 Family26,5
Given120 Family27,6
Given121 Family28,1
Given122 Family29,2
Given123 Family30,3
Given124 Family31,4
Given125 Family01,5
Given126 Family02,6
Given127 Family03,1
Given128 Family04,2
Given129 Family05,3
Given130 Family06,4
Given131 Family07,5
Given132 Family08,6
Given133 Family09,1
Given134 Family10,2
Given135 Family11,3
Given136 Family12,4
Given137 Family13,5
Given138 Family14,6
Given139 Family15,1
Given140 Family16,2
Given141 Family17,3
Given142 Family18,4
Given143 Family19,5
Given144 Family20,6
Given145 Family21,1
Given146 Family22,2
Given147 Family23,3
Given148 Family24,4
Given149 Family25,5
Given150 Family26,6
Given151 Family27,1
Given152 Family28,2
Given153 Family29,3
Given154 Family30,4
Given155 Family31,5
Given156 Family01,6
Given157 Family02,1
Given158 Family03,2
Given159 Family04,3
Given160 Family05,4
Given161 Family06,5
Given162 Family07,6
Given163 Family08,1
Given164 Family09,2
Given165 Family10,3
Given166 Family11,4
Given167 Family12,5
Given168 Family13,6
Given169 Family14,1
Given170 Family15,2
Given171 Family16,3
Given172 Family17,4
Given173 Family18,5
Given174 Family19,6
Given175 Family20,1
Given176 Family21,2
Given177 Family22,3
Given178 Family23,4
Given179 Family24,5
Given180 Family25,6
Given181 Family26,1
Given182 Family27,2
Given183 Family28,3
Given184 Family29,4
Given185 Family30,5
Given186 Family31,
Given187 Family01,
Given188 Family02,
Given189 Family03,
Given190 Family04,
Given191 Family05,
Given192 Family06,
Given193 Family07,
Given194 Family08,
Given195 Family09,
Given196 Family10,
Given197 Family11,
Given198 Family12,
Given199 Family13,
Given200 Family14,
Given201 Family15,
Given202 Family16,
Given203 Family17,
Given204 Family18,
Given205 Family19,
Given206 Family20,
Given207 Family21,
Given208 Family22,
Given209 Family23,
Given210 Family24,
Given211 Family25,
Given212 Family26,
Given213 Family27,
Given214 Family28,
Given215 Family29,
Given216 Family30,
Given217 Family31,
Given218 Family01,
Given219 Family02,
Given220 Family03,
Given221 Family04,
Given222 Family05,
Given223 Family06,
Given224 Family07,
Given225 Family08,
Given226 Family09,
Given227 Family10,
Given228 Family11,
Given229 Family12,
Given230 Family13,
Given231 Family14,
Given232 Family15,
Given233 Family16,
Given234 Family17,
Given235 Family18,
Given236 Family19,
Given237 Family20,
Given238 Family21,
Given239 Family22,
Given240 Family23,
Given241 Family24,
Given242 Family25,
Given243 Family26,
Given244 Family27,
Given245 Family28,
Given246 Family29,
Given247 Family30,
